"Year","Month","Date","GTA","Nino1.2SST","Nino1.2SSTAnomalies","Nino3SST","Nino3SSTAnomalies","Nino3.4SST","Nino3.4SSTAnomalies","Nino4SST","Nino4SSTAnomalies","TNI","PNA","OLR","SOI","Season.2.Month.","MEI.v2","Season.3.Month.","ONI","Season.12.Month.","ENSO","SUBDIVISION","Precipitation"
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","West Rajasthan",0
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Gangetic West Bengal",0
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Naga Mani Mizo Tripura",8.7
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Himachal Pradesh",7
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Tamil Nadu",34.6
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Uttarakhand",6.6
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Telangana",0.5
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Coastal Karnataka",0.1
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","South Interior Karnataka",0.4
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Jammu & Kashmir",5.7
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","East Uttar Pradesh",25.1
